Operation Type, Drone ID, Step Simulated Time, Total Simulated Time
Search, 300, 0.2959343, 214.189
Search, 300, 2.322895, 216.5119
Search, 300, 1.58237, 218.0943
Search, 300, 0.2093232, 218.3036
Search, 300, 2.244209, 220.5478
Search, 300, 2.539861, 223.0876
Search, 300, 0.3458571, 223.4335
Search, 300, 2.556095, 225.9896
Search, 300, 0.8910258, 226.8806
Search, 300, 1.276635, 228.1572
Search, 300, 1.625038, 229.7823
Search, 300, 2.470329, 232.2526
Search, 300, 2.220745, 234.4734
Search, 300, 2.186178, 236.6595
Search, 300, 2.429179, 239.0887
Search, 300, 0.5207709, 239.6095
Search, 300, 1.771318, 241.3808
